name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
힐링피아카라반글램핑풀캠핑장,카라반풀빌라(바나나풀1),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,6,0,0,8,0,15,0,0,0,0,0,8,0,0,8,10,0,0,9,0,0,9,0,12,11,7,0,10,6,5,0,2,5
힐링피아카라반글램핑풀캠핑장,카라반풀빌라(바나나풀2),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,8,0,0,8,0,21,0,0,0,0,0,13,0,0,9,16,0,0,8,0,0,10,0,13,10,10,0,11,10,9,0,2,5
힐링피아카라반글램핑풀캠핑장,카라반풀빌라(바나나풀3),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,0,0,10,0,29,0,0,0,0,0,21,0,0,8,10,0,0,7,0,0,8,0,14,9,18,0,5,4,11,0,2,5
힐링피아카라반글램핑풀캠핑장,카라반풀빌라(바나나풀4),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0,0,2,0,14,0,0,0,0,0,9,1,1,7,9,0,0,5,0,0,6,0,13,3,7,0,7,6,4,0,2,5
힐링피아카라반글램핑풀캠핑장,카라반풀빌라(바나나풀5),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,0,0,3,0,15,0,0,0,0,0,9,0,0,4,8,0,0,4,0,0,4,0,11,2,8,0,7,3,3,0,2,5
힐링피아카라반글램핑풀캠핑장,카라반풀빌라(네모풀6),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,12,0,0,4,0,26,0,0,0,0,0,17,0,0,12,4,0,0,5,0,0,6,0,9,2,8,0,15,10,7,0,2,5
힐링피아카라반글램핑풀캠핑장,카라반풀빌라(네모풀7),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,0,0,2,0,17,0,0,0,0,0,10,0,0,7,7,0,0,3,0,0,4,0,6,3,8,0,8,3,5,0,2,5
힐링피아카라반글램핑풀캠핑장,스페셜 패밀리 카라반8,1,경기 가평군 설악면 유명산길 61-75,229000,4.93,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,0,10,0,0,0,0,0,5,0,0,5,5,0,0,5,0,0,3,0,3,2,4,0,5,0,4,0,2,4
힐링피아카라반글램핑풀캠핑장,레트로 카라반(네모풀9),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,5,0,0,2,0,9,0,0,0,0,0,9,0,0,5,8,0,0,2,0,0,2,0,3,5,7,0,3,1,1,0,2,4
힐링피아카라반글램핑풀캠핑장,레트로 카라반(네모풀10),1,경기 가평군 설악면 유명산길 61-75,281500,4.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,0,0,7,0,13,0,0,0,0,0,8,0,0,5,6,0,0,4,0,0,5,0,9,4,7,0,6,5,3,0,2,4
